,PC1,PC2,PC3,PC4,PC5,PC6
United States,2.290473060308776,1.5706516694816783,-1.866951502719331,-0.3841380551533268,0.6098229525585344,1.2412168433559156
Spain,2.390067199550127,0.4660791773201275,-0.9750703888163434,-0.127932824859312,-0.47753258462216064,-0.29974149280389967
South Korea,2.4548940670727237,0.41189994652665074,-1.122363041126808,0.13083221179363158,-0.218782293204432,-0.25816213225475687
Portugal,1.9756805027658684,-0.021551891749850643,0.10319349694120153,-0.7557999226755997,-0.7429326755033174,0.08965363943426602
Israel,2.5706809972525657,-0.2739991387347836,-0.12919314353869582,0.3032478614792146,-0.04530182876613387,0.5098585450256291
Lithuania,1.924875749808321,-0.38713010249865637,0.9864095356658741,0.20393095122444937,0.1029272358640052,-0.7101252521148564
Slovenia,2.464637055282257,-0.7719105243208954,0.8412130634967225,0.0776237963204702,-0.5036487293612038,-0.40343975886599026
Costa Rica,1.296378554458464,0.6610150683441074,1.2170617113866724,-0.44936181466080993,-0.8533461003224487,0.11050443423150035
Cyprus,1.982690491484775,-0.8617239689588905,1.329789890346776,-0.45913283510030767,-0.8443227578181729,0.3855860896026032
Latvia,1.8471725568906079,-0.5467919777465882,1.2049552384799873,0.22495203315533951,0.11491216434949719,-0.9004343144356304
Georgia,0.01767861936238037,-0.8675717028847179,0.6101834087883846,-0.14582002506769542,-0.4658155978206214,0.05180466192878251
Poland,1.1234333158351333,0.2362101682557317,-0.7196352772428216,-0.49990019595479596,-0.7167429500490222,0.027991899814184554
Czech Republic,2.3859619423857605,-0.20757510256451514,-0.14881910911265817,0.47745082822647056,0.0183860466524155,-1.268067814756601
Oman,-0.8074084265284979,-1.5724004178117328,-0.06017882227015414,0.5469941283665478,-0.6761790189083854,1.36747047169785
Rwanda,-2.2032947406391834,-1.022874291360473,-0.10164744047568366,-0.2510430260730169,0.5442111556582072,0.4753412731407469
Italy,1.916879465090052,0.5638213931872311,-1.0539270386577497,-0.5345302832111876,-0.7469176312819801,0.3897811550946617
Malta,2.102388122138417,-1.2135354169953005,1.8708876692370502,-0.4984880688842154,-1.0133412827487114,0.9565355672119938
Namibia,-0.9990488415794707,0.6905095133638185,2.3241922131019876,-0.7753781058390067,0.4682663955691243,-0.07791413541111869
Greece,1.5475505678383914,-0.15047812986767342,-0.0043771872681394874,-0.3106127564252644,-1.0888032082569714,0.02443014197764916
Armenia,-0.11817086480410277,-1.0849278000652922,0.7076000020140727,-0.02982309103946776,-0.5365839106763637,0.03756039759591931
Jordan,-1.1764418398218015,-1.0247688940793398,-0.15031579043311227,0.050299049191397424,-0.42921365991628224,0.7051894435639999
Slovakia,1.6478553031756669,-0.4598277424518973,0.3972130854302711,-0.006831833504012522,-0.22581951902574438,-0.7045526123597786
Belarus,-0.7036049640975764,-1.447650922145113,-0.5815950588367268,2.218482844962864,0.3064946597386246,-0.5225087022757459
Croatia,1.0654082151273152,-0.6670391522156849,0.5593448993887288,-0.27752418772939835,-0.8102047162790311,-0.17458631183490209
Montenegro,0.5192767833797316,-1.5312954699392851,1.5934996143101745,0.25726567801297007,-0.7493956645571673,-0.052053178249207466
Senegal,-1.4394819241002452,-0.3414585845066329,0.17819435365443906,-1.6913473581831902,0.22458319816717642,-0.2861050910112091
Bulgaria,1.0033797087308212,-0.5125539645343536,0.2262987584761217,0.36935933975347457,-0.05862758327211609,-1.332666335249011
Hungary,1.059727415169592,-0.3722437899670117,-0.027257109185697348,0.6350980368197436,-0.14327861805993203,-0.8337270659442633
Jamaica,-0.3321924820686182,3.1142670939353723,3.453806413803414,1.4374445882234386,-0.12918842607058056,0.10050122653600863
Romania,0.44344344675816194,0.00026330491443404824,-0.1802363977603204,-0.6908583403670054,-0.7679018752407336,0.05666078555631898
South Africa,-1.29548942924979,3.6538595146987043,1.5831715860241182,0.19325632141525845,0.557159404257292,-0.032639459164608864
Tunisia,-0.15515133846017157,-0.09917564848855942,0.23822865557124542,-0.7869112581235714,-0.9493707308284519,0.12638393632648265
Ghana,-1.1516422106149495,0.2800258800817518,0.09276542742963806,-1.8410084779178795,0.257010545030538,-0.48464379861806944
Argentina,0.5231701909105568,0.7187226850713546,-0.46547700903890377,-0.1538469567195203,-0.7634751380903813,-0.5741014387126706
Benin,-1.9772182694390659,-0.5777474950586248,0.4185210014981845,-1.4805814311581071,0.7729126060157004,-0.4102642936222218
Burkina Faso,-2.445937540150265,-0.5871879842918176,0.022706832393090376,-1.238937378329549,1.1243828396941382,-0.4593415637350191
India,-1.3005045615551598,1.7078055904532434,-2.3091196949992825,-1.3717492324160971,-0.06106984113529068,-0.3962840763762166
Turkey,-0.8208394627989737,-0.04300195989289701,-1.4381284056726584,0.5818943969810513,-0.7281587098868308,0.4880643844626401
Colombia,-0.49957535814554843,2.427979590854287,0.6058032250101184,0.5764412378925946,-0.7051384855893574,0.29862936083133707
Ecuador,-0.2837191020626148,0.1653165959023449,0.05518125664107162,-0.1858459593075904,-0.8555567656568183,-0.016112582578602243
Brazil,-0.7000445717692875,3.242404733337968,0.014951107294740362,0.3489965005476836,-0.593464472763074,0.30725167404468234
Kazakhstan,-0.9085394881621573,-0.7173645946490226,-0.6008151905423831,1.6313980619834925,0.08427991487729353,-0.12922203221818107
Peru,-0.2405856267205384,0.6931425804167131,-0.12870256367871796,-0.26000598660669627,-0.8896786660128626,0.00920066546049575
Serbia,0.3536533641869318,-0.5795787490464333,0.03494235373311172,0.2918104357319521,-0.4480293075482567,-0.7153075264696042
Sri Lanka,-0.5705614965198581,-0.10250610801475679,-0.2842023993175715,-0.5125291409789059,-1.1980277492509703,0.47089493104989655
Tanzania,-2.305241450995634,0.29552394734540377,-0.47999805076083374,-0.6325342879537428,0.6543816259315822,-0.0948469589037843
Indonesia,-1.101825663403443,0.7552939947350313,-1.676382723881514,-1.1553648186193155,-0.5504988249671104,0.09642560318525681
