country,corruption,democracy,freedom,GDP_UN,HDI,homicide,life_expectancy,religion_important,log_pop
Costa Rica,0.6337303758705166,1.0735715926236222,1.0189092680468783,-0.20069071007138978,0.3735311618029742,0.7098474786848267,0.8502489274889505,0.35742686593747053,-0.8068242531375559
Cyprus,0.37613493531883174,0.7895756738570142,1.1233259070637742,0.5348284791466779,0.886488017681711,-0.5012768621182147,0.9480739313644069,0.19778561751480586,-1.8232561333292145
Latvia,0.6852494639808535,0.638111183848157,0.9492981753689477,0.0647302031280051,0.7465906933511463,-0.1258283164692718,0.15149889980712267,-1.238985618289175,-1.4874713281409653
Georgia,0.4791731115395057,-0.27540902151776486,-0.06006266846104639,-0.5714279296990568,0.3868547165011232,-0.3922756714459409,-0.0581261084974257,0.4372474901488029,-0.9700242007512697
Poland,0.5306921996498426,0.45351383664986167,0.7056593509961905,-0.031790657091381326,0.8398555762381894,-0.573944322566397,0.6266489186307664,0.19778561751480586,0.6025069689438138
Czech Republic,0.4276540234291687,0.8416415922975591,1.0189092680468783,0.295610666111255,0.9730911232196797,-0.5860555659744275,0.7244739225062227,-1.9573712361911657,-0.28221704849700985
Oman,0.3246158472084948,-1.3687933087692046,-1.347867883002763,-0.1854819176685249,0.393516493850197,-0.6223892961985188,0.5148489142016743,1.1955434201564592,-0.8169500384957289
Rwanda,0.37613493531883174,-1.3214606556414366,-1.4174789756806936,-0.7173773652277541,-1.4051633903999197,-0.34383069781381925,-0.72892613507198,0.9959918596281284,-0.16573640216524446
Italy,0.5306921996498426,0.8747744494869968,0.9841037217079129,0.6770673358060015,0.9197969044270836,-0.5860555659744275,1.283473944651685,0.07805468119780734,0.9303070535608463
Malta,0.4276540234291687,0.8463748576103358,0.9841037217079129,0.7931030923013531,0.9397822364743071,-0.4649431318941234,1.1576989396689552,0.6367990506771333,-2.512125930443422
Namibia,0.17005858287748385,0.2973160813282274,0.5316316193013639,-0.5608459084789912,-0.7190003234452454,1.484967056798773,-1.469601164414717,0.8762609233111304,-1.2996019621418637
Greece,0.17005858287748385,0.7091101635398087,0.879687082691017,0.07599936858313992,0.8931497950307855,-0.5497218357503363,1.1157739380080458,0.03814436909214116,-0.2964736414523006
Armenia,0.17005858287748385,-0.25647596026665764,-0.23409040015587296,-0.5585096180797559,0.1470307319344407,-0.45283188848609296,0.12354889869984914,0.35742686593747053,-1.1805180334108865
Jordan,0.17005858287748385,-1.0753308593770432,-0.9650068732741445,-0.5577308546133442,-0.1660728034720615,-0.48916561871018427,0.0396988953780306,1.0359021717337946,-0.32174218963058493
Slovakia,0.3246158472084948,0.5103130204031833,0.9841037217079129,0.1285429977580978,0.7066200292566992,-0.5254993489342754,0.45894891198712734,-0.919703121443846,-0.7522915753073004
Belarus,-0.2420941220052119,-1.5628571865930532,-1.7655344390703467,-0.4618055193976843,0.4601342673409421,-0.3680531846298801,0.08162389703893987,-1.4385371788175056,-0.3681902900010411
Croatia,0.0670204066568099,0.287849550702674,0.8100759900130864,-0.11562225376982327,0.6466640331150285,-0.5860555659744275,0.5986989175234929,-0.0017659430135250087,-0.9470455012523484
