,PC1,PC2,PC3,PC4,PC5
Pakistan,2.382664112968871,-0.4000285829402224,-0.4793929978366258,0.2084069369311382,0.005818072817572656
Azerbaijan,1.350365394138635,-1.4471833454318541,1.9481897302493736,0.3334845178662424,-0.6307382831896984
Malawi,2.0116523641339445,-0.023945027627567728,-1.777016834463506,0.40536255405185245,-0.33355227150062633
Russia,0.8947735526271426,-0.6474084055772301,2.237571188211117,0.3660150408301282,-0.592697093056082
Dominican Republic,0.6388284715944583,0.7084126270358202,-0.1823267413927096,-0.7286604256936843,0.09101996423896225
Liberia,2.2660080105694886,-0.0031387331994942314,-1.401092820389806,0.46237781956059854,-0.3998734204959671
Paraguay,0.807870638488644,0.3829156229318568,-0.4279912877886204,-0.8207550187166301,0.12367503768079818
Angola,2.746420078756755,-0.40071802830677966,-0.3085306315676334,0.7642784881475978,-0.12588580736256447
Uganda,2.6801993887722237,0.4251664074972274,-0.40055168366905686,0.5266630244373762,-0.004366337128694997
Cameroon,3.3414377648099207,-0.9938207318660474,-0.33287955568838246,0.8576725443787784,0.13696258351871315
Bangladesh,1.6681656684698576,-0.3551897285578491,-0.6202907805590034,-0.6572135608620215,0.3052624459007347
Mozambique,2.9992358608363965,-0.4093030916837104,-0.7925952385479355,1.0022074512691452,-0.46323795934562506
Guatemala,1.6863439488619705,1.71872041742732,0.6893827139569111,-0.43147368054654556,0.380505782942403
Iran,1.5453157927257868,-1.3487497118175025,1.506612196082617,-0.44637575124079104,0.5329038292858667
Tajikistan,2.6067350959899094,-1.4002832362728828,0.8913582430610658,-0.12510036511010114,0.3832030014814482
Central African Republic,4.815937982084773,0.8353683788064121,0.355618277750378,1.9825931917364252,0.20027534068779373
Nigeria,3.660675139934264,3.135650613350975,0.3220608978157645,1.3954477512394856,0.15171325387853196
Iraq,2.165232297715386,-0.0233584075778632,0.6952639099733295,-0.11836353470746194,0.2604761275615288
Cambodia,2.6354735776891145,-0.9643868790262214,0.0019474724476380434,-0.14012535795576703,0.3650296808721294
Zimbabwe,3.0624089242248695,-0.21398272339055835,-0.011763204013183814,0.7222558362270968,-0.06574025300665484
Haiti,2.7918213970552808,-0.08627296103677023,-0.34770197830385097,0.5785354543586343,-0.2926572478912159
Nicaragua,1.8478078570545364,-0.42883285651114816,0.9646878806657205,-0.30478249863549994,-0.1319267619581123
Sudan,3.3610323340660937,-0.7022703154172059,0.08200969629660265,0.5002460025202533,0.22866533212476708
Burundi,3.990765388433884,-0.5979787499199128,-0.17375950404098478,0.9014236503107109,0.22541794863333253
Turkmenistan,2.748940918100419,-1.2193108931396635,1.3120417699414442,0.1697583961327993,0.4566552755188885
Yemen,3.8062645822576378,-0.6471560158636408,0.20549339694320523,0.4388259406448674,0.46899524231191686
Venezuela,2.9194736875373457,2.503142306929709,2.670850358605838,-0.047151647168363536,0.7733161120554346
